,CellID,MSD,budding_start,extens_factor,k_nutrient,k_scaling_factor,mother_phi,mother_r_os_0
0,0,32.53985800137658,5901.324533913256,130.0313485663825,1.6556180778890097e-16,1.2583097201791376,0.0003515183958428178,1.177313203259243
1,1,82.29790870069718,5580.000395688331,968057.9491959652,2.586574638629232e-16,1.1892941613285801,0.0002058623190759756,1.4856364461503824
2,2,101.38888872033866,5580.000209857836,247.8282526843892,8.867435202060112e-17,1.1843278599933742,0.0011711203325525498,1.2364850964084741
3,3,41.98736217497874,10615.509790768872,999580.5573228851,2.150157037986834e-16,1.3197579772904793,0.000706175976886957,1.2903606450550145
4,4,111.39265136383997,5580.0010051538375,1485.4403050100698,1.9219380726144252e-16,1.1546399703637915,0.0003115507157612951,1.262229714154152
5,5,34.32156880236431,5580.000012122338,59.215895727942616,1.8731632337461642e-16,1.2540113133201585,0.0006511013656180284,0.9492895477308227
6,6,37.052637671305334,6568.252544720639,999999.9999266134,1.0535438320321536e-16,1.154778472076831,0.0004189460875297936,1.4226944321076096
7,7,40.14563503074021,5580.000014853471,76.09207551645721,7.820462224756026e-17,1.165824945408163,0.00030925419455836385,1.3406005155471863
8,8,27.501584860727043,5580.000236455699,101.5962022245429,1.2470122247833974e-16,1.1815123008185178,0.0005006232963308875,1.290757602531364
9,9,52.471832321494205,5580.000017738466,151.5559118491086,1.0356312559199305e-16,1.1759912405248374,0.0007162539429115507,1.2986813074534171
10,10,100.78115593457632,5580.000040989856,187.52570181792672,3.3772538458456456e-16,1.3627588386670926,0.0012656984460654875,1.3165980456423452
11,11,63.96114719295025,9215.11596336072,999222.7234078977,2.9550626459543325e-16,1.2966809084304134,0.0005942259031523931,0.9316691728544166
12,12,69.55669703670166,7331.412114646119,991612.2888529472,1.2552253315666648e-16,1.226864364435904,0.0006827286582015093,1.1988308885913286
13,13,62.51152334128079,9467.215185659301,342.0132438125109,8.650181333555368e-17,1.1812376858564075,0.001354410228817586,0.9142117908887584
14,14,74.74508925476133,5580.00004968427,529.9558955187915,1.4906358454777318e-16,1.2378602069160685,0.0005877703561703396,1.2698899268320352
15,15,57.85173208203992,11570.567831929511,174.5643184497299,1.0427922100203987e-16,1.1741681692534582,0.00019916199313448085,1.0280500621124213
16,16,18.9462586341009,10069.542371475765,231.70719114936085,1.4414768176469314e-16,1.2745006753922394,0.00019042806094146864,0.9163030076434459
17,17,60.784460242721714,5580.000308564478,101.13709724257023,8.837110385679867e-17,1.1994034639500268,0.0006676665601304746,1.0482897704582939
18,18,46.56361157224109,5580.000126653076,182.24782660828888,1.9982574701935024e-16,1.2749729112659995,0.00022210146687595502,1.3076541714616166
19,19,47.88518869037051,8619.445598621858,809546.9235428064,1.6906720959099222e-16,1.2088876677130491,0.0002737405812309809,0.9527904628687524
20,20,49.20969359719216,7019.491151868985,106.26447950935712,1.2982256757753693e-16,1.2702223565829602,0.0005511866644686178,0.9142117911476528
